zip_code,state,national_district,national_wholesaler,wealth_district,wealth_wholesaler,fi_district,fi_wholesaler,wifi_district,wifi_wholesaler,structure_pattern,wholesalers_in_state,has_commercial_opportunity
00795,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00802,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00820,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00830,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00840,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00850,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00851,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00901,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00906,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00907,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00909,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00911,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00912,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00913,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00915,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00917,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00918,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00920,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00921,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00923,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00924,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00925,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00926,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00927,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00934,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00949,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00950,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00951,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00952,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00953,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00956,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00957,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00959,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00960,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00961,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00962,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00965,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00966,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00968,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00969,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00971,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00976,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00979,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00982,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00983,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00985,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00987,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
01001,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01002,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01003,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01005,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01007,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01008,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01009,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01010,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01011,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01012,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01013,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01020,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01022,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01026,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01027,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01028,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01029,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01030,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01031,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01032,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01033,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01034,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01035,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01036,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01037,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01038,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01039,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01040,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01050,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01053,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01054,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01056,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
