scenario,zip_code,state,channel,bundle,district,wholesaler,has_commercial_opportunity
51_total_13n_11wh_24fi_3wifi,01074,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01074,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01074,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01075,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01075,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01075,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01077,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01077,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01077,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01079,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01079,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01079,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01080,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01080,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01080,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01081,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01081,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01081,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01082,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01082,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01082,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01083,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01083,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01083,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01084,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01084,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01084,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01085,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01085,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01085,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01088,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01088,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01088,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01089,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01089,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01089,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01092,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01092,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01092,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01093,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01093,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01093,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01094,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01094,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01094,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01095,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01095,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01095,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01096,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01096,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01096,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01097,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01097,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01097,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01098,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01098,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01098,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01103,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01103,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01103,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01104,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01104,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01104,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01105,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01105,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01105,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01106,MA,FI,FI,FI_04,R0028,True
