scenario,zip_code,current_channel,state,model_channel,district,district_channels,rep
Group 1 Exact National (14 N),01527,FI,MA,FI,other,,
Group 1 Exact National (14 N),01532,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01532,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01532,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01532,WH,MA,WH,other,,
Group 1 Exact National (14 N),01532,FI,MA,FI,other,,
Group 1 Exact National (14 N),01545,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01545,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01545,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01545,WH,MA,WH,other,,
Group 1 Exact National (14 N),01545,FI,MA,FI,other,,
Group 1 Exact National (14 N),01550,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01550,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01550,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01550,WH,MA,WH,other,,
Group 1 Exact National (14 N),01550,FI,MA,FI,other,,
Group 1 Exact National (14 N),01566,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01566,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01566,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01566,WH,MA,WH,other,,
Group 1 Exact National (14 N),01566,FI,MA,FI,other,,
Group 1 Exact National (14 N),01581,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01581,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01581,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01581,WH,MA,WH,other,,
Group 1 Exact National (14 N),01581,FI,MA,FI,other,,
Group 1 Exact National (14 N),01588,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01588,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01588,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01588,WH,MA,WH,other,,
Group 1 Exact National (14 N),01588,FI,MA,FI,other,,
Group 1 Exact National (14 N),01604,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01604,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01604,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01604,WH,MA,WH,other,,
Group 1 Exact National (14 N),01604,FI,MA,FI,other,,
Group 1 Exact National (14 N),01605,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01605,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01605,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01605,WH,MA,WH,other,,
Group 1 Exact National (14 N),01605,FI,MA,FI,other,,
Group 1 Exact National (14 N),01606,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01606,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01606,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01606,WH,MA,WH,other,,
Group 1 Exact National (14 N),01606,FI,MA,FI,other,,
Group 1 Exact National (14 N),01608,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01608,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01608,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01608,WH,MA,WH,other,,
Group 1 Exact National (14 N),01608,FI,MA,FI,other,,
Group 1 Exact National (14 N),01701,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01701,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01701,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01701,WH,MA,WH,other,,
Group 1 Exact National (14 N),01701,FI,MA,FI,other,,
Group 1 Exact National (14 N),01702,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01702,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01702,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01702,WH,MA,WH,other,,
Group 1 Exact National (14 N),01702,FI,MA,FI,other,,
Group 1 Exact National (14 N),01720,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01720,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01720,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01720,WH,MA,WH,other,,
Group 1 Exact National (14 N),01720,FI,MA,FI,other,,
Group 1 Exact National (14 N),01749,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01749,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01749,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01749,WH,MA,WH,other,,
Group 1 Exact National (14 N),01749,FI,MA,FI,other,,
Group 1 Exact National (14 N),01752,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01752,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01752,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01752,WH,MA,WH,other,,
Group 1 Exact National (14 N),01752,FI,MA,FI,other,,
Group 1 Exact National (14 N),01757,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01757,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01757,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01757,WH,MA,WH,other,,
Group 1 Exact National (14 N),01757,FI,MA,FI,other,,
Group 1 Exact National (14 N),01760,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01760,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01760,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01760,WH,MA,WH,other,,
Group 1 Exact National (14 N),01760,FI,MA,FI,other,,
Group 1 Exact National (14 N),01776,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01776,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01776,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01776,WH,MA,WH,other,,
Group 1 Exact National (14 N),01776,FI,MA,FI,other,,
Group 1 Exact National (14 N),01801,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01801,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01801,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01801,WH,MA,WH,other,,
Group 1 Exact National (14 N),01801,FI,MA,FI,other,,
Group 1 Exact National (14 N),01803,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01803,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01803,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01803,WH,MA,WH,other,,
Group 1 Exact National (14 N),01803,FI,MA,FI,other,,
Group 1 Exact National (14 N),01810,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01810,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01810,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01810,WH,MA,WH,other,,
Group 1 Exact National (14 N),01810,FI,MA,FI,other,,
Group 1 Exact National (14 N),01824,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01824,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01824,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01824,WH,MA,WH,other,,
Group 1 Exact National (14 N),01824,FI,MA,FI,other,,
Group 1 Exact National (14 N),01830,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01830,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01830,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01830,WH,MA,WH,other,,
Group 1 Exact National (14 N),01830,FI,MA,FI,other,,
Group 1 Exact National (14 N),01844,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01844,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01844,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01844,WH,MA,WH,other,,
Group 1 Exact National (14 N),01844,FI,MA,FI,other,,
Group 1 Exact National (14 N),01845,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01845,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01845,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01845,WH,MA,WH,other,,
Group 1 Exact National (14 N),01845,FI,MA,FI,other,,
Group 1 Exact National (14 N),01852,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01852,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01852,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01852,WH,MA,WH,other,,
Group 1 Exact National (14 N),01852,FI,MA,FI,other,,
Group 1 Exact National (14 N),01876,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01876,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01876,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01876,WH,MA,WH,other,,
Group 1 Exact National (14 N),01876,FI,MA,FI,other,,
Group 1 Exact National (14 N),01879,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01879,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01879,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01879,WH,MA,WH,other,,
Group 1 Exact National (14 N),01879,FI,MA,FI,other,,
Group 1 Exact National (14 N),01880,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01880,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01880,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01880,WH,MA,WH,other,,
Group 1 Exact National (14 N),01880,FI,MA,FI,other,,
Group 1 Exact National (14 N),01886,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01886,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01886,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01886,WH,MA,WH,other,,
Group 1 Exact National (14 N),01886,FI,MA,FI,other,,
Group 1 Exact National (14 N),01887,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01887,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01887,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01887,WH,MA,WH,other,,
Group 1 Exact National (14 N),01887,FI,MA,FI,other,,
Group 1 Exact National (14 N),01890,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01890,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01890,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01890,WH,MA,WH,other,,
Group 1 Exact National (14 N),01890,FI,MA,FI,other,,
Group 1 Exact National (14 N),01904,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01904,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01904,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01904,WH,MA,WH,other,,
Group 1 Exact National (14 N),01904,FI,MA,FI,other,,
Group 1 Exact National (14 N),01907,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01907,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01907,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01907,WH,MA,WH,other,,
Group 1 Exact National (14 N),01907,FI,MA,FI,other,,
Group 1 Exact National (14 N),01915,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01915,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01915,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01915,WH,MA,WH,other,,
Group 1 Exact National (14 N),01915,FI,MA,FI,other,,
Group 1 Exact National (14 N),01923,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01923,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01923,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01923,WH,MA,WH,other,,
Group 1 Exact National (14 N),01923,FI,MA,FI,other,,
Group 1 Exact National (14 N),01930,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01930,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01930,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01930,WH,MA,WH,other,,
Group 1 Exact National (14 N),01930,FI,MA,FI,other,,
Group 1 Exact National (14 N),01938,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01938,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01938,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01938,WH,MA,WH,other,,
Group 1 Exact National (14 N),01938,FI,MA,FI,other,,
Group 1 Exact National (14 N),01944,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01944,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01944,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01944,WH,MA,WH,other,,
Group 1 Exact National (14 N),01944,FI,MA,FI,other,,
Group 1 Exact National (14 N),01945,National (Chase),MA,N_FI,N_09,N,R0009
